Carimbo de data/hora,"Considerando o que foi apresentado, você concorda em participar de forma voluntária desta pesquisa?",Você se formou em algum curso PRESENCIAL relacionado a computação?,1. Qual seu sexo?,2. Idade atual,3. Você se auto declara como...,4. Em área(s) você atua hoje?,5. A instituição de ensino superior em que você estudou era...,6. Você concluiu um curso superior presencial de qual tipo?,7. Informe seu curso:,8. Em que turno aconteciam as aulas?,9. Quanto tempo você levou para concluir seu curso (aproximadamente)?,"10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Infraestrutura do seu curso (laboratórios, salas de aula, etc).]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Professores do seu curso]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Conteúdos das disciplinas ofertadas]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Amizades e Networking (oportunidade de fazer novos contatos)]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Trabalhos, atividades e projetos realizados]",11. Qual/Quais dos seguintes auxílios financeiros ou remunerações você recebeu durante a graduação?,12. Selecione as atividades extracurriculares das quais você participou durante sua graduação,13. Quanto tempo você levava para ir de onde você morava até a universidade/faculdade (em média)?,"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [A estrutura do curso (laboratórios, salas de aula, disciplinas).]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Morar próximo da universidade.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bom relacionamento com os colegas do curso.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bons mentores, orientadores ou monitores.]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bons professores.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Trabalhos em grupo.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Meu desempenho no curso.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Participação em projetos de pesquisa, desenvolvimento, ensino, extensão ou estágios.]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bolsas ou auxílios.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Desejo de possuir um diploma universitário.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Influência/Inspiração de profissionais da área.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Possibilidades de morar no exterior.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Mercado de trabalho promissor.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Possibilidade de trabalho remoto.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Apoio de familiares, colegas, professores, amigos, comunidades da área de TI, etc.]","15. Algum outro fator lhe influenciou a concluir seu curso? Se sim, qual ou quais?",16. Que ações você acha que poderiam ser realizadas em cursos superiores de computação para estimular mais alunos a concluírem seus cursos?,17. Em qual estado se localiza a faculdade/universidade/instituto onde você se graduou?,18. Em qual cidade se localiza a faculdade/universidade/instituto onde você se graduou?
29/07/2022 11:07:45,Concordo,Sim,Masculino,27,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Área de Segurança da Informação, Aluno(a) de pós-graduação (mestrado/doutorado/especialização)",Universidade Pública Federal,Bacharelado,Engenharia da Computação,"Manhã, Tarde",Mais de 7 anos,2 - Ruim,3 - Mediano(a),3 - Mediano(a),1 - Péssimo,3 - Mediano(a),"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Projeto de Extensão, Monitoria",Menos de 30 minutos,Pouco importante,Pouco importante,Pouco importante,Pouco importante,Importante,Importante,Pouco importante,Muito importante,Importante,Muito importante,Pouco importante,Sem importância,Importante,Sem importância,Pouco importante,Desejo de crescer na vida e melhorar a qualidade de vida no futuro.,Mais palestras com relatos de graduados,Ceará,Sobral
29/07/2022 12:02:19,Concordo,Sim,Feminino,22,Pardo(a),Qualidade de Software/Testes,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos,4 - Bom,5 - Excelente,4 - Bom,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Projeto de Extensão",Menos de 30 minutos,Importante,Pouco importante,Pouco importante,Importante,Muito importante,Pouco importante,Muito importante,Importante,Sem importância,Importante,Importante,Importante,Muito importante,Importante,Muito importante,Sim. Meu irmão,,Paraíba,Rio Tinto - UFPB
29/07/2022 12:33:42,Concordo,Sim,Masculino,38,Negro(a),"Professor(a) de Ensino Superior, Cientista/Engenheiro de Dados",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde, Noite",4 anos e meio,3 - Mediano(a),4 - Bom,4 - Bom,4 - Bom,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Estágio",De 30 minutos a 1h,Muito importante,Sem importância,Importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Pouco importante,Sem importância,Importante,Muito importante,Muito importante,Sem importância,Importante,,Motivar estudantes com projetos/pesquisa que impactam a sociedade,Paraíba,João Pessoa
29/07/2022 13:10:49,Concordo,Sim,Feminino,27,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico, Cientista/Engenheiro de Dados",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,4 - Bom,4 - Bom,3 - Mediano(a),5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",De 30 minutos a 1h,Importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Importante,Pouco importante,Pouco importante,,Apoio psicológico,Paraíba,Campina Grande
29/07/2022 13:19:31,Concordo,Sim,Feminino,22,Pardo(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos e meio,3 - Mediano(a),4 - Bom,4 - Bom,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Projeto de Extensão, Estágio, Monitoria",Menos de 30 minutos,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Realização pessoal,Ter projetos em conjunto com empresas para ainda durante o curso ter contato profissional,Paraíba,Rio tinto
29/07/2022 14:08:25,Concordo,Sim,Feminino,25,Pardo(a),Aluno(a) de pós-graduação (mestrado/doutorado/especialização),Instituto Federal/Centro Federal de Educação Tecnológica,Bacharelado,Engenharia da Computação,"Manhã, Tarde",5 anos,5 - Excelente,4 - Bom,3 - Mediano(a),4 - Bom,3 - Mediano(a),"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",De 30 minutos a 1h,Importante,Pouco importante,Importante,Muito importante,Importante,Importante,Importante,Muito importante,Muito importante,Importante,Muito importante,Pouco importante,Importante,Pouco importante,Muito importante,Desejo de seguir na área.,Mas contato com pessoas do mercado de trabalho para saber mais sobre as possíveis áreas de atuação.,Paraíba,Campina Grande
29/07/2022 14:18:37,Concordo,Sim,Feminino,24,Branco(a),Aluno(a) de pós-graduação (mestrado/doutorado/especialização),Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,4 - Bom,4 - Bom,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Estágio, Monitoria",Menos de 30 minutos,Muito importante,Pouco importante,Muito importante,Importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,Importante,Muito importante,,,Paraíba,Campina Grande
29/07/2022 14:54:33,Concordo,Sim,Feminino,35,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico, Qualidade de Software/Testes",Universidade/Faculdade Privada,Bacharelado,Sistemas de Informação,Noite,5 anos e meio,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Projeto de Extensão",De 30 minutos a 1h,Muito importante,Pouco importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Importante,Muito importante,Pouco importante,Pouco importante,Importante,Pouco importante,Muito importante,"Ter uma bolsa de estudos pelo PROUNI, o que me fazia pensar mil vezes antes de desitir pois oportunidade de cursar uma faculdade privada não bateria na minha porta duas vezes.","Porjetos de imersão no ambiente corporativo, como residências ou algo do tipo. Estágio obrigatório tem sua importância mas muitas vezes se cumpre apenas tabela e já ouvi casos de estagiários que faziam atividades adminstrativas apenas. Então um formato de residência seria muito mais imersivo e pontual na conquista da experiencia e vivência profissiona.",Paraíba,Campina Grande
29/07/2022 15:05:22,Concordo,Sim,Feminino,44,Branco(a),Governança de TI,Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",4 anos,4 - Bom,4 - Bom,4 - Bom,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",De 30 minutos a 1h,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Pouco importante,Muito importante,Pouco importante,Muito importante,,Laboratório e vivência com experimentos necessários ao mercado de trabalho,Paraíba,Campina Grande
29/07/2022 15:35:03,Concordo,Sim,Masculino,23,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico",Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos,4 - Bom,5 - Excelente,4 - Bom,4 - Bom,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Extensão, Estágio, Monitoria",Menos de 30 minutos,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Muito importante,Não sei ou não desejo opinar,Muito importante,Independência financeira,Visitas técnicas a empresas de desenvolvimento de software ou palestras de pessoas bem sucedidas da área,Paraíba,Rio Tinto
